source,record_id,tag,pattern,title,path
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000046,BST::Lectures::BST_Lecture_1_Grossing::Specimen_Orientation_for_Inking_and_Sectioning,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000047,BST::Lectures::BST_Lecture_1_Grossing::Inking_and_Sectioning_Colors_for_Superior_and_Inferior_Identification,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000048,BST::Lectures::BST_Lecture_1_Grossing::Inking_and_Sectioning_Colors_Posterior_Surface,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000049,BST::Lectures::BST_Lecture_1_Grossing::Oriented_Inking_and_Perpendicular_Sectioning,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000050,BST::Lectures::BST_Lecture_1_Grossing::Oriented_Specimen_Inking_and_Sectioning,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000051,BST::Lectures::BST_Lecture_1_Grossing::Tumor_Sampling_Quantity_and_Specific_Areas_for_Sectioning,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000052,BST::Lectures::BST_Lecture_1_Grossing::Soft_Tissue_Margins_Selection_and_Submission_Guidelines,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000053,BST::Lectures::BST_Lecture_1_Grossing::Unoriented_Thigh_Mass_Gross_Examination_and_Margin_Analysis,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000054,BST::Lectures::BST_Lecture_1_Grossing::Large_Unoriented_Retroperitoneal_Mass_with_Kidney,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000055,BST::Lectures::BST_Lecture_1_Grossing::Pathological_Examination_of_Bone_Specimens,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000056,BST::Lectures::BST_Lecture_1_Grossing::Decalcification,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000057,BST::Lectures::BST_Lecture_1_Grossing::Decalcification_Process_Steps,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000058,BST::Lectures::BST_Lecture_1_Grossing::Approaches_to_Bone_Specimen_Analysis,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000061,BST::Lectures::BST_Lecture_1_Grossing::Bone_Pathology_Specimen_Types_for_Diagnosis_and_Therapy,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000062,BST::Lectures::BST_Lecture_1_Grossing::Evaluating_Primary_Bone_Pathology_Specimens,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000063,BST::Lectures::BST_Lecture_1_Grossing::Biopsy_and_Curettage_Procedures,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000064,BST::Lectures::BST_Lecture_1_Grossing::Processing_Biopsy_and_Curettage_Samples_with_Calcification,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000066,BST::Lectures::BST_Lecture_1_Grossing::Biopsy_and_Curettage_Procedures,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000067,BST::Lectures::BST_Lecture_1_Grossing::Diagnosis_Dependent_Management_of_Large_Bone_Specimens_Wide_Excision_Limb_Sparin,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000068,BST::Lectures::BST_Lecture_1_Grossing::Wide_Excision_and_Limb_Sparing_Procedures,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000069,BST::Lectures::BST_Lecture_1_Grossing::Processing_and_Sampling_Wide_Excision_Limb_Sparing_Bone_Specimens,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
