root,source,tag,record_id,title,path
Breast,abpath,Breast::Epithelial::Microglandular_Adenosis,Microglandular_Adenosis,Microglandular_Adenosis,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Epithelial::MyoEpithelial::Pleomorphic_Adenoma,Pleomorphic_Adenoma,Pleomorphic_Adenoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Epithelial::Neuroendocrine_Tumors::Neuroendocrine_Carcinoma,Neuroendocrine_Carcinoma,Neuroendocrine_Carcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Epithelial::Papillary_Neoplasms::Invasive_Papillary_Carcinoma,Invasive_Papillary_Carcinoma,Invasive_Papillary_Carcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Epithelial::Radial_Scar_complex_sclerosing_lesion,Radial_Scar_complex_sclerosing_lesion,Radial_Scar_complex_sclerosing_lesion,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Epithelial::Salivary_Tumors::Acinic_Cell_Carcinoma,Acinic_Cell_Carcinoma,Acinic_Cell_Carcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Epithelial::Salivary_Tumors::Mucoepidermoid_Carcinoma,Mucoepidermoid_Carcinoma,Mucoepidermoid_Carcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Epithelial::Salivary_Tumors::Polymorphous_Adenocarcinoma,Polymorphous_Adenocarcinoma,Polymorphous_Adenocarcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Congenital_Structural::Hamartoma::Ectopic_Meningioma_And_Meningothelial_Hamartoma,Ectopic_Meningioma_And_Meningothelial_Hamartoma,Ectopic_Meningioma_And_Meningothelial_Hamartoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Adipocytic::Benign::Angiolipoma,Angiolipoma,Angiolipoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Fibroblastic::Benign::Angiomyofibroblastoma,Angiomyofibroblastoma,Angiomyofibroblastoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Fibroblastic::Benign::Cellular_Angiofibroma,Cellular_Angiofibroma,Cellular_Angiofibroma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Fibroblastic::Intermediate::Giant_Cell_Fibroblastoma,Giant_Cell_Fibroblastoma,Giant_Cell_Fibroblastoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Fibrohistiocytic::Benign::Tenosynovial_Giant_Cell_Tumor_Localized,Tenosynovial_Giant_Cell_Tumor_Localized,Tenosynovial_Giant_Cell_Tumor_Localized,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
