record_id,source,original_tag,rejection_reason,title,input_path
textbooks:tbchunk:derm_elston:derm_elston_p0409_c001,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0448_c001,textbooks,Skin::Neoplastic::Epithelial::Malignant::Squamous_Cell_Carcinoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0019_fig001_caption,textbooks,Skin::Neoplastic::Epithelial::Malignant::Squamous_Cell_Carcinoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0019_fig002_caption,textbooks,Skin::Neoplastic::Epithelial::Malignant::Squamous_Cell_Carcinoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0019_fig003_caption,textbooks,Skin::Neoplastic::Epithelial::Malignant::Squamous_Cell_Carcinoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0045_fig001_caption,textbooks,Skin::Neoplastic::Epithelial::Malignant::Squamous_Cell_Carcinoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0045_fig002_caption,textbooks,Skin::Neoplastic::Epithelial::Malignant::Squamous_Cell_Carcinoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0045_fig003_caption,textbooks,Skin::Neoplastic::Epithelial::Malignant::Squamous_Cell_Carcinoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0048_fig001_caption,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0049_fig001_caption,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0049_fig002_caption,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
