tag,root,record_count
BST::Bone::Hematolymphoid::Intermediate::Langerhans_Cell_Histiocytosis,BST,199
HN::Heme::Reactive::Reactive_Lymphoid_Hyperplasia,HN,199
BST::Bone::Vascular::Malignant::Epithelioid_Hemangioendothelioma_Bone,BST,198
Cyto_Heme::Malignant::Hodgkin::Classic_Hodgkin_Lymphoma,Cyto_Heme,196
Cyto_Kidney::Category::Atypical,Cyto_Kidney,195
Skin::Inflammatory::Blistering::Pemphigus_Vulgaris,Skin,195
Skin::Neoplastic::Epidermal::Precursor::Actinic_Keratosis_NOS,Skin,194
BST::Bone::Chondrogenic::Benign::Chondroblastoma,BST,192
Cyto_Pancreatobiliary::Malignant::Ductal::Pancreatic_Ductal_Adenocarcinoma_NOS,Cyto_Pancreatobiliary,192
HN::Soft_Tissue::Vascular::Lymphangioma,HN,191
Skin::Infectious::Fungal::Candidiasis,Skin,188
BST::Bone::Chondrogenic::Benign::Enchondroma,BST,186
Molecular::Hereditary::Cell_cycle::P53_Pathway::Li_Fraumeni_Syndrome_TP53,Molecular,186
Molecular::Solid::Breast::Invasive_Carcinoma,Molecular,186
GI::Colon::Neoplastic::IBD_Associated::Colonic_Dysplasia_And_IBD_Related_Adenocarcinoma,GI,184
Skin::Inflammatory::Blistering::Pemphigus_Foliaceus,Skin,183
Skin::Neoplastic::Soft_Tissue::Fibrous::Dermatofibrosarcoma_Protuberans_DFSP,Skin,182
Endo::Thyroid::Congenital_Structural::Malformation::Ectopic_Thyroid,Endo,179
Breast::Neoplastic::Epithelial::Benign::Intraductal_Papilloma,Breast,178
Cyto_GI_Tract::Small_Intestine::Malignant::Lymphoma,Cyto_GI_Tract,178
Molecular::Concept::Variants::SNV_Indel_Frameshift,Molecular,176
BST::Bone::Hematolymphoid::Malignant::Plasma_Cell_Myeloma,BST,174
BST::Soft_Tissue::Smooth_Muscle::Malignant::Leiomyosarcoma,BST,174
Cyto_Urinary::Concept::Reporting_and_Management_Guidelines,Cyto_Urinary,174
Cyto_Fluids::Specimen_Type::Pelvic_Washing,Cyto_Fluids,173
Cyto_Heme::Benign_Reactive::General::Reactive_Lymphoid_Hyperplasia_Follicular,Cyto_Heme,172
BST::Bone::Chondrogenic::Benign::Chondromyxoid_Fibroma,BST,171
BST::Bone::Congenital_Structural::Cyst::Aneurysmal_Bone_Cyst,BST,171
Cyto_Fluids::Malignant::Mesothelioma::Mesothelioma_Epithelioid,Cyto_Fluids,170
BST::Bone::Giant_Cell::Intermediate::Giant_Cell_Tumor_Of_Bone,BST,169
GYN::Ovary::Neoplastic::Epithelial::Malignant::Endometrioid_Adenocarcinoma,GYN::Ovary,169
Cyto_Pancreatobiliary::Malignant::Neuroendocrine::Neuroendocrine_Tumor_G1,Cyto_Pancreatobiliary,167
Skin::Inflammatory::Blistering::Bullous_Pemphigoid,Skin,165
HN::Sinonasal::Neuroendocrine::Olfactory_Neuroblastoma,HN,164
HN::Oral_Cavity::Precursor::Oral_Epithelial_Dysplasia,HN,163
Cyto_GYN::Squamous::Atypical_Squamous_Cells_Cannot_Exclude_HSIL_ASCH,Cyto_GYN,161
BST::Bone::Chondrogenic::Malignant::Chondrosarcoma_Mesenchymal,BST,160
GU::Prostate::Additional_Topics::Immunohistochemistry,GU::Prostate,160
GU::Bladder::Urothelial::Urothelial_Carcinoma_In_Situ,GU::Bladder,159
Endo::Thyroid::Neoplastic::Epithelial::Benign::Follicular_Adenoma,Endo,158
Cyto_GYN::Specimen_Type::Pap_Test_Liquid_Based,Cyto_GYN,157
Cyto_Liver::Category::Malignant,Cyto_Liver,157
