video_id,title,root,package_id,high_confidence_segment_count,all_gated_segment_count,topic_count,video_url,high_confidence_topic_tags
YT_GI_Pancreas_Neoplastic_Hruben,YT GI Pancreas Neoplastic Hruben,GI,yt_gi_pancreas_neoplastic_hruben_v0_1,0,1,1,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_GI_Pancreas_Neoplastic_Hruben.mp4,
YT_GI_Pancreas_Solid_Basturk,YT GI Pancreas Solid Basturk,GI,yt_gi_pancreas_solid_basturk_v0_1,0,2,2,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_GI_Pancreas_Solid_Basturk.mp4,
YT_GI_Vascular_Allende,YT GI Vascular Allende,GI,yt_gi_vascular_allende_v0_1,0,2,2,https://storage.googleapis.com/pathology-hub-0/source_videos/YT_GI_Vascular_Allende.mp4,
yt_pathcast_pathboards_high_yield_gu_pathology_for_boards_eubhjs0r8gs,#PATHBOARDS HIGH - YIELD GU PATHOLOGY FOR BOARDS (pathCast),GU,yt_pathcast_pathboards_high_yield_gu_pathology_for_boards_eubhjs0r8gs_v0_1,0,10,7,https://www.youtube.com/watch?v=eubHjS0r8gs,
GU_Lecture_1_Kidney1,GU Lecture 1 Kidney1,GU,gu_lecture_1_kidney1_v0_1,0,4,4,https://storage.googleapis.com/pathology-hub-0/source_videos/GU_Lecture_1_Kidney1.mp4,
GU_Lecture_10_Prostate1,GU Lecture 10 Prostate1,GU,gu_lecture_10_prostate1_v0_1,3,8,6,https://storage.googleapis.com/pathology-hub-0/source_videos/GU_Lecture_10_Prostate1.mp4,GU::Prostate::Additional_Topics::Gleason_Grading | GU::Prostate::Squamous_Neoplasms::Prostatic_Stromal_Tumor_of_Uncertain_Malignant_Potential
GU_Lecture_11_Prostate2,GU Lecture 11 Prostate2,GU,gu_lecture_11_prostate2_v0_1,2,5,3,https://storage.googleapis.com/pathology-hub-0/source_videos/GU_Lecture_11_Prostate2.mp4,GU::Prostate::Benign::Basal_Cell_Hyperplasia | GU::Prostate::Glandular_neoplasms::High_Grade_Prostatic_Intraepithelial_Neoplasia
GU_Lecture_12_Prostate3,GU Lecture 12 Prostate3,GU,gu_lecture_12_prostate3_v0_1,1,7,6,https://storage.googleapis.com/pathology-hub-0/source_videos/GU_Lecture_12_Prostate3.mp4,GU::Prostate::Benign::Sclerosing_Adenosis
GU_Lecture_13_Prostate4,GU Lecture 13 Prostate4,GU,gu_lecture_13_prostate4_v0_1,7,21,3,https://storage.googleapis.com/pathology-hub-0/source_videos/GU_Lecture_13_Prostate4.mp4,GU::Prostate::Additional_Topics::Gleason_Grading
GU_Lecture_2_Kidney2,GU Lecture 2 Kidney2,GU,gu_lecture_2_kidney2_v0_1,2,7,6,https://storage.googleapis.com/pathology-hub-0/source_videos/GU_Lecture_2_Kidney2.mp4,GU::Kidney::RCC_Molecular::Fumarate_Hydratase_Deficient_RCC | GU::Kidney::Non_Neoplastic::Xanthogranulomatous_Pyelonephritis
GU_Lecture_3_Kidney3,GU Lecture 3 Kidney3,GU,gu_lecture_3_kidney3_v0_1,2,4,4,https://storage.googleapis.com/pathology-hub-0/source_videos/GU_Lecture_3_Kidney3.mp4,GU::Syndromes::Hereditary_Leiomyomatosis_and_Renal_Cell_Carcinoma_Syndrome | GU::Kidney::RCC_Other::Mucinous_Tubular_and_Spindle_Cell_Carcinoma
GU_Lecture_4_Kidney4,GU Lecture 4 Kidney4,GU,gu_lecture_4_kidney4_v0_1,3,4,2,https://storage.googleapis.com/pathology-hub-0/source_videos/GU_Lecture_4_Kidney4.mp4,GU::Kidney::Mesenchymal_Stromal::Epithelioid_Angiomyolipoma_PEComa
