slug,title,video_length,has_mp4,has_pdf,has_vtt,education_url,video_mp4_primary,slides_pdf_primary,vtt_primary,series_hint,pathology_relevant,heme_relevant
carpenter-makevbuy-2020,Valuing the Hospital Laboratory: Making the Case for “Make” (versus “Buy”),33 min 59 sec,True,True,True,https://arup.utah.edu/education/carpenter-makevbuy-2020,https://arup.utah.edu/sites/default/files/Edu_Media/videos/carpenter-makeVbuy-2020_ValuingtheHospitalLaboratoryRobCarpenter_V2.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/carpenter-makeVbuy-2020_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/carpenter-makeVbuy-2020_carpenter-makeVbuy-2020.vtt,,False,False
chimzar-herpes-2022,Herpes Simplex Viruses 1 and 2,43 min 43 sec,True,True,True,https://arup.utah.edu/education/chimzar-herpes-2022,https://arup.utah.edu/sites/default/files/Edu_Media/videos/chimzar-herpes-2022_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/chimzar-herpes-2022_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/chimzar-herpes-2022_chimzar-herpes-2022.vtt,,False,False
cleary-neoadjuvant-pcap24,Approach to Neoadjuvant-Treated Breast Cancer Cases,46 min 57 sec,True,True,True,https://arup.utah.edu/education/cleary-neoadjuvant-pcap24,https://arup.utah.edu/sites/default/files/Edu_Media/videos/cleary-neoadjuvant-pcap24_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/cleary-neoadjuvant-pcap24_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/cleary-neoadjuvant-pcap24_7%20-%20Cleary_Neoadjuvant_Treated_Breast_Cancers%20SRT%20.vtt,pcap24,True,False
cohen-academichealth-2023,A Discourse on Working in Academic Health Centers With Some Practical Observations,52 min 31 sec,True,True,True,https://arup.utah.edu/education/cohen-academichealth-2023,https://arup.utah.edu/sites/default/files/Edu_Media/videos/cohen-academichealth-2023_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/cohen-academichealth-2023_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/cohen-academichealth-2023_cohen-academichealth-2023.vtt,,False,False
cohen-burnout-2024,Burnout and Wellness: A Pathology Perspective,43 min 23 sec,True,True,True,https://arup.utah.edu/education/cohen-burnout-2024,https://arup.utah.edu/sites/default/files/Edu_Media/videos/cohen-burnout-2024_v2.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/cohen-burnout-2024_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/cohen-burnout-2024_Cohen_Wellbeing_V1.vtt,,True,False
collins-coreneedle-pcap24,Contemporary Considerations for Core Needle Biopsy of the Breast,52 min 41 sec,True,True,True,https://arup.utah.edu/education/collins-coreneedle-pcap24,https://arup.utah.edu/sites/default/files/Edu_Media/videos/collins-coreneedle-pcap24_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/collins-coreneedle-pcap24_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/collins-coreneedle-pcap24_11%20-%20Collins_Core_Needle_biospy%20SRT.vtt,pcap24,True,False
collins-her2-pcap24,"Breast Biomarker Testing, and What To Do With HER2",50 min 13 sec,True,True,True,https://arup.utah.edu/education/collins-her2-pcap24,https://arup.utah.edu/sites/default/files/Edu_Media/videos/collins-her2-pcap24_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/collins-her2-pcap24_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/collins-her2-pcap24_13%20-%20Collins_Breast_Biomarker_Testing_V1_1.vtt,pcap24,True,False
collins-metaplasticcarcinoma-pcap24,Morphologic Mimics of Metaplastic Carcinoma,41 min 51 sec,True,True,True,https://arup.utah.edu/education/collins-metaplasticcarcinoma-pcap24,https://arup.utah.edu/sites/default/files/Edu_Media/videos/collins-metaplasticcarcinoma-pcap24_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/collins-metaplasticcarcinoma-pcap24_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/collins-metaplasticcarcinoma-pcap24_Subtitles%2014%20-%20Collins_Mimics_Metaplatic_Carcinoma_V1_1.vtt,pcap24,True,False
costeffectiveeval,Cost-Effectiveness Analysis of Laboratory Tests,44 min 20 sec,True,True,True,https://arup.utah.edu/education/costeffectiveeval,https://arup.utah.edu/sites/default/files/Edu_Media/videos/costEffectiveEval_10-21-15CostEffectiveEval4.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/costEffectiveEval_Cost%20Effectiveness%20Analysis.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/costEffectiveEval_costEffectiveEval.vtt,,False,False
couturier-beasts-2024,Fantastic Beasts and the Infections They Transmit,39 min 14 sec,True,True,True,https://arup.utah.edu/education/couturier-beasts-2024,https://arup.utah.edu/sites/default/files/Edu_Media/videos/couturier-beasts-2024_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/couturier-beasts-2024_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/couturier-beasts-2024_Subtitles%20Couturier_Fantastic%20Beasts%202024-09-26%20V1-EDU.vtt,,False,False
cushing-cryoprecipitate-pbm25,Cryoprecipitate Versus Fibrinogen,29 min 3 sec,True,True,True,https://arup.utah.edu/education/cushing-cryoprecipitate-pbm25,https://arup.utah.edu/sites/default/files/Edu_Media/videos/cushing-cryoprecipitate-pbm25_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/cushing-cryoprecipitate-pbm25_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/cushing-cryoprecipitate-pbm25_SRT%20PBM%205%20Cushing_Cryoprecipitate%20Versus%20Fibrinogen.vtt,pbm25,False,False
custservice,Are You a Customer Service “Have” or “Have Not”?,58 min 1 sec,True,True,True,https://arup.utah.edu/education/custservice,https://arup.utah.edu/sites/default/files/Edu_Media/videos/custService_FairCP_CustService4.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/custService_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/custService_custService.vtt,,False,False
