canonical_tag,display_label,root_id,root_label,subcategory_label,provenance,study_query,dedupe_key,merged_alias_count,merged_alias_tags
BST::Bone::Other::Benign::Lipoma_Of_Bone,Lipoma_Of_Bone,bst,BST,Bone,abpath,Lipoma Of Bone,bst::lipoma_of_bone,0,
BST::Bone::Other::Benign::Osteofibrous_Dysplasia,Osteofibrous_Dysplasia,bst,BST,Bone,abpath,Osteofibrous Dysplasia,bst::osteofibrous_dysplasia,1,BST::Bone::Other_Mesenchymal::Osteofibrous_Dysplasia
BST::Bone::Other::Intermediate::Adamantinoma_Classic,Adamantinoma_Classic,bst,BST,Bone,abpath,Adamantinoma Classic,bst::adamantinoma_classic,0,
BST::Bone::Other::Malignant::Ewing_Sarcoma,Ewing_Sarcoma,bst,BST,Bone,abpath,Ewing Sarcoma,bst::ewing_sarcoma,1,BST::Round_Cell_Sarcomas::Ewing_Sarcoma
BST::Bone::Other::Malignant::Leiomyosarcoma_Of_Bone,Leiomyosarcoma_Of_Bone,bst,BST,Bone,abpath,Leiomyosarcoma Of Bone,bst::leiomyosarcoma_of_bone,1,BST::Bone::Other_Mesenchymal::Leiomyosarcoma_of_Bone
BST::Bone::Other::Malignant::Metastatic_Carcinoma_Bone,Metastatic_Carcinoma_Bone,bst,BST,Bone,abpath,Metastatic Carcinoma Bone,bst::metastatic_carcinoma_bone,0,
BST::Bone::Other::Malignant::Undifferentiated_Pleomorphic_Sarcoma_Bone,Undifferentiated_Pleomorphic_Sarcoma_Bone,bst,BST,Bone,abpath,Undifferentiated Pleomorphic Sarcoma Bone,bst::undifferentiated_pleomorphic_sarcoma_bone,0,
BST::Bone::Other_Mesenchymal::Bone_Metastases,Bone_Metastases,bst,BST,Bone,who,Bone Metastases,bst::bone_metastases,0,
BST::Bone::Other_Mesenchymal::Chondromesenchymal_Hamartoma_of_Chest_Wall,Chondromesenchymal_Hamartoma_of_Chest_Wall,bst,BST,Bone,who,Chondromesenchymal Hamartoma of Chest Wall,bst::chondromesenchymal_hamartoma_of_chest_wall,0,
BST::Bone::Other_Mesenchymal::Fibrocartilaginous_Mesenchymoma,Fibrocartilaginous_Mesenchymoma,bst,BST,Bone,who,Fibrocartilaginous Mesenchymoma,bst::fibrocartilaginous_mesenchymoma,0,
BST::Bone::Other_Mesenchymal::Lipoma_and_Hibernoma_of_Bone,Lipoma_and_Hibernoma_of_Bone,bst,BST,Bone,who,Lipoma and Hibernoma of Bone,bst::lipoma_and_hibernoma_of_bone,0,
BST::Bone::Reactive::Infectious::Osteomyelitis_Acute,Osteomyelitis_Acute,bst,BST,Bone,abpath,Osteomyelitis Acute,bst::osteomyelitis_acute,0,
BST::Bone::Reactive::Infectious::Osteomyelitis_Chronic,Osteomyelitis_Chronic,bst,BST,Bone,abpath,Osteomyelitis Chronic,bst::osteomyelitis_chronic,0,
BST::Bone::Reactive::Inflammatory::Massive_Osteolysis_Gorham_Disease,Massive_Osteolysis_Gorham_Disease,bst,BST,Bone,abpath,Massive Osteolysis Gorham Disease,bst::massive_osteolysis_gorham_disease,0,
BST::Bone::Reactive::Joint::CPPD_Pseudogout,CPPD_Pseudogout,bst,BST,Bone,abpath,CPPD Pseudogout,bst::cppd_pseudogout,0,
BST::Bone::Reactive::Joint::Gout,Gout,bst,BST,Bone,abpath,Gout,bst::gout,0,
BST::Bone::Reactive::Joint::Osteoarthritis,Osteoarthritis,bst,BST,Bone,abpath,Osteoarthritis,bst::osteoarthritis,0,
BST::Bone::Reactive::Joint::Rheumatoid_Arthritis,Rheumatoid_Arthritis,bst,BST,Bone,abpath,Rheumatoid Arthritis,bst::rheumatoid_arthritis,0,
BST::Bone::Reactive::Metabolic::Osteopetrosis,Osteopetrosis,bst,BST,Bone,abpath,Osteopetrosis,bst::osteopetrosis,0,
